city,transform,feature_group,feature,generated_feature,parameter_weeks,source_analysis_type,pearson_corr,abs_pearson_corr,best_abs_pearson_corr,relative_to_best,city_abs_corr_threshold,selection_cutoff_abs_corr
sj,rolling_mean,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_12_mean,12,rolling,0.2992929425998287,0.2992929425998287,0.3070230247530729,0.9748224676000725,0.2,0.29167187351541923
sj,rolling_mean,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_13_mean,13,rolling,0.30401603856362147,0.30401603856362147,0.3070230247530729,0.9902059912546629,0.2,0.29167187351541923
sj,rolling_mean,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_14_mean,14,rolling,0.3070230247530729,0.3070230247530729,0.3070230247530729,1.0,0.2,0.29167187351541923
sj,rolling_mean,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_12_mean,12,rolling,0.3238089667923314,0.3238089667923314,0.3317020633173035,0.9762042585866533,0.2,0.3151169601514383
sj,rolling_mean,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_13_mean,13,rolling,0.3282831042107138,0.3282831042107138,0.3317020633173035,0.9896926806170658,0.2,0.3151169601514383
sj,rolling_mean,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_14_mean,14,rolling,0.3317020633173035,0.3317020633173035,0.3317020633173035,1.0,0.2,0.3151169601514383
sj,rolling_mean,reanalysis,reanalysis_max_air_temp_k,reanalysis_max_air_temp_k_rolling_12_mean,12,rolling,0.31467703718051365,0.31467703718051365,0.32295907131652524,0.9743557779558558,0.2,0.30681111775069897
sj,rolling_mean,reanalysis,reanalysis_max_air_temp_k,reanalysis_max_air_temp_k_rolling_13_mean,13,rolling,0.3196470301175925,0.3196470301175925,0.32295907131652524,0.989744702988427,0.2,0.30681111775069897
sj,rolling_mean,reanalysis,reanalysis_max_air_temp_k,reanalysis_max_air_temp_k_rolling_14_mean,14,rolling,0.32295907131652524,0.32295907131652524,0.32295907131652524,1.0,0.2,0.30681111775069897
sj,rolling_mean,reanalysis,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k_rolling_12_mean,12,rolling,0.3243370104591888,0.3243370104591888,0.3328728778814477,0.9743569753216753,0.2,0.3162292339873753
sj,rolling_mean,reanalysis,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k_rolling_13_mean,13,rolling,0.32918950983923206,0.32918950983923206,0.3328728778814477,0.9889346105166085,0.2,0.3162292339873753
sj,rolling_mean,reanalysis,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k_rolling_14_mean,14,rolling,0.3328728778814477,0.3328728778814477,0.3328728778814477,1.0,0.2,0.3162292339873753
sj,rolling_mean,reanalysis,reanalysis_precip_amt_kg_per_m2,reanalysis_precip_amt_kg_per_m2_rolling_8_mean,8,rolling,0.21357312160876024,0.21357312160876024,0.21473629833128174,0.9945832319381467,0.2,0.20399948341471766
sj,rolling_mean,reanalysis,reanalysis_precip_amt_kg_per_m2,reanalysis_precip_amt_kg_per_m2_rolling_9_mean,9,rolling,0.21473629833128174,0.21473629833128174,0.21473629833128174,1.0,0.2,0.20399948341471766
sj,rolling_mean,reanalysis,reanalysis_precip_amt_kg_per_m2,reanalysis_precip_amt_kg_per_m2_rolling_10_mean,10,rolling,0.21449778707211878,0.21449778707211878,0.21473629833128174,0.9988892829902702,0.2,0.20399948341471766
sj,rolling_mean,reanalysis,reanalysis_relative_humidity_percent,reanalysis_relative_humidity_percent_rolling_12_mean,12,rolling,0.254049603287802,0.254049603287802,0.2586429458997727,0.9822406035626015,0.2,0.24571079860478406
sj,rolling_mean,reanalysis,reanalysis_relative_humidity_percent,reanalysis_relative_humidity_percent_rolling_13_mean,13,rolling,0.25620141439831334,0.25620141439831334,0.2586429458997727,0.9905602238910258,0.2,0.24571079860478406
sj,rolling_mean,reanalysis,reanalysis_relative_humidity_percent,reanalysis_relative_humidity_percent_rolling_14_mean,14,rolling,0.2586429458997727,0.2586429458997727,0.2586429458997727,1.0,0.2,0.24571079860478406
sj,rolling_mean,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_rolling_12_mean,12,rolling,0.32235440801054177,0.32235440801054177,0.3291767146411031,0.9792746378248547,0.2,0.31271787890904795
sj,rolling_mean,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_rolling_13_mean,13,rolling,0.3263028106554814,0.3263028106554814,0.3291767146411031,0.9912694189540256,0.2,0.31271787890904795
sj,rolling_mean,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_rolling_14_mean,14,rolling,0.3291767146411031,0.3291767146411031,0.3291767146411031,1.0,0.2,0.31271787890904795
sj,rolling_mean,station,station_avg_temp_c,station_avg_temp_c_rolling_12_mean,12,rolling,0.36669285965393517,0.36669285965393517,0.38583343222279104,0.9503916172878364,0.2,0.36654176061165145
sj,rolling_mean,station,station_avg_temp_c,station_avg_temp_c_rolling_13_mean,13,rolling,0.3769563350810084,0.3769563350810084,0.38583343222279104,0.9769924107129816,0.2,0.36654176061165145
sj,rolling_mean,station,station_avg_temp_c,station_avg_temp_c_rolling_14_mean,14,rolling,0.38583343222279104,0.38583343222279104,0.38583343222279104,1.0,0.2,0.36654176061165145
sj,rolling_mean,station,station_max_temp_c,station_max_temp_c_rolling_13_mean,13,rolling,0.37128490681201487,0.37128490681201487,0.3810753476840157,0.9743083856473472,0.2,0.3620215802998149
sj,rolling_mean,station,station_max_temp_c,station_max_temp_c_rolling_14_mean,14,rolling,0.3810753476840157,0.3810753476840157,0.3810753476840157,1.0,0.2,0.3620215802998149
sj,rolling_mean,station,station_min_temp_c,station_min_temp_c_rolling_12_mean,12,rolling,0.37569306953758425,0.37569306953758425,0.3949923294972017,0.9511401652174256,0.2,0.3752427130223416
sj,rolling_mean,station,station_min_temp_c,station_min_temp_c_rolling_13_mean,13,rolling,0.38611695048104444,0.38611695048104444,0.3949923294972017,0.977530249695089,0.2,0.3752427130223416
sj,rolling_mean,station,station_min_temp_c,station_min_temp_c_rolling_14_mean,14,rolling,0.3949923294972017,0.3949923294972017,0.3949923294972017,1.0,0.2,0.3752427130223416
