component,explained_variance_ratio,cumulative_explained_variance
148,0.0004828136733568506,0.985446960709124
149,0.00047604194031640245,0.9859230026494403
150,0.00047187369833254293,0.9863948763477729
151,0.00046016471094818053,0.9868550410587211
152,0.00044840908758121716,0.9873034501463024
153,0.00041098306229676434,0.9877144332085992
154,0.0003921043760865105,0.9881065375846857
155,0.00038293803525448324,0.9884894756199402
156,0.000377511032036541,0.9888669866519767
157,0.0003667770713343888,0.9892337637233111
158,0.00035243920172503665,0.9895862029250361
159,0.00034595607630716953,0.9899321590013432
160,0.00034333189437830633,0.9902754908957215
161,0.00033584640563554154,0.9906113373013571
162,0.0003219473743806106,0.9909332846757377
163,0.0003188713988641965,0.9912521560746019
164,0.00031133514509984407,0.9915634912197018
165,0.0003019675536046614,0.9918654587733065
166,0.0002991716745959657,0.9921646304479024
167,0.00028651368096793586,0.9924511441288703
168,0.0002807472786530783,0.9927318914075234
169,0.00027663351628118483,0.9930085249238045
170,0.000273118390095101,0.9932816433138997
171,0.00026772249108926693,0.993549365804989
172,0.000255319979474317,0.9938046857844633
173,0.0002492858660521206,0.9940539716505155
174,0.0002456915623612989,0.9942996632128768
175,0.0002401538299341859,0.9945398170428109
176,0.00023187945261900255,0.99477169649543
177,0.00022563504026970363,0.9949973315356997
178,0.0002227718434467229,0.9952201033791465
179,0.00022180745038629656,0.9954419108295327
180,0.00020111128124237728,0.995643022110775
181,0.00019466776028567902,0.9958376898710607
182,0.00019222537801040973,0.9960299152490711
183,0.00018994703577912921,0.9962198622848503
184,0.0001865958618278007,0.996406458146678
185,0.00017942592928760375,0.9965858840759657
186,0.00016396263218682633,0.9967498467081526
187,0.0001438653453425446,0.9968937120534951
188,0.00014313677490718042,0.9970368488284023
189,0.0001348310159505314,0.9971716798443528
190,0.00012980305564650222,0.9973014828999993
191,0.00012482076424591524,0.9974263036642452
192,0.0001237221496181106,0.9975500258138633
193,0.0001195277257640237,0.9976695535396274
194,0.00011800901837120992,0.9977875625579986
195,0.00011521959108932707,0.9979027821490879
196,0.0001108171862032806,0.9980135993352912
197,0.00010865429112610653,0.9981222536264173
198,0.00010440300579342143,0.9982266566322107
199,0.00010375575546937958,0.99833041238768
200,0.00010108967150050088,0.9984315020591805
201,9.032846723997073e-05,0.9985218305264205
202,8.429551739768308e-05,0.9986061260438182
203,7.988882149873613e-05,0.9986860148653169
204,7.962134650879224e-05,0.9987656362118257
205,7.76571664866462e-05,0.9988432933783123
206,7.712524071914037e-05,0.9989204186190315
207,7.515010726793397e-05,0.9989955687262994
208,7.398896875716434e-05,0.9990695576950566
209,7.322389160588466e-05,0.9991427815866625
210,7.161091044838118e-05,0.9992143924971109
211,6.641879854284108e-05,0.9992808112956537
212,6.368535768674285e-05,0.9993444966533405
213,5.724997587013936e-05,0.9994017466292106
214,5.462512329117597e-05,0.9994563717525017
215,4.977028220571355e-05,0.9995061420347074
216,4.5852717143291434e-05,0.9995519947518507
217,4.378596883233962e-05,0.9995957807206831
218,4.2804038428217435e-05,0.9996385847591114
219,4.0476318754267e-05,0.9996790610778656
220,3.980964544484184e-05,0.9997188707233104
221,3.751116196180699e-05,0.9997563818852723
222,3.679639559788778e-05,0.9997931782808701
223,3.234461928905603e-05,0.9998255229001591
224,3.0077592885628457e-05,0.9998556004930448
225,2.21131177743802e-05,0.9998777136108191
226,1.3625951325648922e-05,0.9998913395621448
227,1.182370466451441e-05,0.9999031632668093
228,9.310949409522122e-06,0.9999124742162188
229,8.347560359855236e-06,0.9999208217765786
230,6.140832326635854e-06,0.9999269626089052
231,5.501576425788162e-06,0.999932464185331
232,5.346062996498683e-06,0.9999378102483275
233,5.153258957138145e-06,0.9999429635072846
234,4.820628131487525e-06,0.9999477841354161
