city,feature_group,window_weeks,n_features,mean_abs_pearson_corr,median_abs_pearson_corr,max_abs_pearson_corr,top_feature,top_feature_pearson_corr,top_feature_abs_pearson_corr
sj,reanalysis,7,10,0.23554449475616074,0.26031449484536806,0.28617235462251484,reanalysis_specific_humidity_g_per_kg,0.28617235462251484,0.28617235462251484
sj,reanalysis,8,10,0.24278955716291728,0.2708685197359246,0.29503300958507783,reanalysis_specific_humidity_g_per_kg,0.29503300958507783,0.29503300958507783
sj,reanalysis,9,10,0.2495406221882332,0.2803974331232225,0.30355921915541384,reanalysis_specific_humidity_g_per_kg,0.30355921915541384,0.30355921915541384
sj,reanalysis,10,10,0.2552871359515743,0.2884024951233306,0.31152899392292704,reanalysis_dew_point_temp_k,0.31152899392292704,0.31152899392292704
sj,reanalysis,11,10,0.2598402723647996,0.29515602378049044,0.3183234392272021,reanalysis_min_air_temp_k,0.3183234392272021,0.3183234392272021
sj,reanalysis,12,10,0.2633252427366783,0.30069693383543805,0.3243370104591888,reanalysis_min_air_temp_k,0.3243370104591888,0.3243370104591888
sj,reanalysis,13,10,0.2657203660789139,0.30520100979059805,0.32918950983923206,reanalysis_min_air_temp_k,0.32918950983923206,0.32918950983923206
sj,reanalysis,14,10,0.2673318266475311,0.30801961482884044,0.3328728778814477,reanalysis_min_air_temp_k,0.3328728778814477,0.3328728778814477
sj,station,1,5,0.12914098833709795,0.17524817336023485,0.19482282979430351,station_avg_temp_c,0.19482282979430351,0.19482282979430351
sj,station,2,5,0.1471949057369044,0.2047676654805479,0.21397224759701286,station_avg_temp_c,0.21397224759701286,0.21397224759701286
sj,station,3,5,0.16133596246026088,0.22752519993630202,0.23170044248769925,station_avg_temp_c,0.23170044248769925,0.23170044248769925
sj,station,4,5,0.17401943009372847,0.24698867319209306,0.25037365449215054,station_avg_temp_c,0.25037365449215054,0.25037365449215054
sj,station,5,5,0.1848634911052541,0.2644047114117624,0.26976883920311623,station_min_temp_c,0.26976883920311623,0.26976883920311623
sj,station,6,5,0.19482975179940748,0.28094428670052546,0.28902652653522065,station_min_temp_c,0.28902652653522065,0.28902652653522065
sj,station,7,5,0.20398916446577758,0.29676820417916094,0.30645831400219303,station_min_temp_c,0.30645831400219303,0.30645831400219303
sj,station,8,5,0.2116360643063011,0.31091247265018074,0.32235395152939006,station_min_temp_c,0.32235395152939006,0.32235395152939006
sj,station,9,5,0.21882132170561067,0.3246528186349832,0.3368873436226605,station_min_temp_c,0.3368873436226605,0.3368873436226605
sj,station,10,5,0.225212907367017,0.3368144211049639,0.3508151201677727,station_min_temp_c,0.3508151201677727,0.3508151201677727
sj,station,11,5,0.2312224578672147,0.34850924150797513,0.36404088591258,station_min_temp_c,0.36404088591258,0.36404088591258
sj,station,12,5,0.2370151772045937,0.3601219764789991,0.37569306953758425,station_min_temp_c,0.37569306953758425,0.37569306953758425
sj,station,13,5,0.24227549356326725,0.37128490681201487,0.38611695048104444,station_min_temp_c,0.38611695048104444,0.38611695048104444
sj,station,14,5,0.24661594310687213,0.3810753476840157,0.3949923294972017,station_min_temp_c,0.3949923294972017,0.3949923294972017
